com/sun/corba/serialization/ObjectStreamTest.java total: 102, passed: 102, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/BufferedReader/Lines.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/ByteArrayOutputStream/EncodingTest.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/InputStream/NullInputStream.java total: 15, passed: 15, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/OutputStream/NullOutputStream.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/PrintStream/EncodingTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/PrintWriter/EncodingTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/class/NonSerializableTest.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/serialFilter/CheckInputOrderTest.java total: 14, passed: 14, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/serialFilter/FilterWithSecurityManagerTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/serialFilter/GlobalFilterTest.java total: 13, passed: 13, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/serialFilter/MixedFiltersTest.java total: 14, passed: 14, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/io/Serializable/serialFilter/SerialFilterTest.java total: 59, passed: 59, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/GetModuleTest.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/GetPackageTest.java total: 10, passed: 10, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/forName/modules/TestDriver.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/getFields/Sanity.java total: 7, passed: 7, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/getPackageName/Basic.java total: 23, passed: 23, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/Class/getResource/ResourcesTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/ClassLoader/GetResourceNullArg.java total: 14, passed: 14, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/ClassLoader/getResource/GetResource.java total: 14, passed: 14, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/ClassLoader/getResource/modules/ResourcesTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/IntegralPrimitiveToString.java total: 4, passed: 4, failed: 0, skipped: 0, config failed: 0, config skipped: 0
